KYWD,2021,2022,2023,2024,2025,2026
companies,8.0,9.0,9.0,7.0,12.0,9.0
companion,0.0,0.0,5.0,4.0,0.0,4.0
company,29.0,19.0,21.0,23.0,15.0,15.0
comparative,7.0,3.0,0.0,6.0,19.0,16.0
comparative analysis,0.0,5.0,3.0,0.0,0.0,0.0
comparative study,0.0,5.0,9.0,13.0,5.0,6.0
comparison,0.0,0.0,6.0,9.0,6.0,6.0
compassion,0.0,0.0,5.0,2.0,0.0,0.0
compensation,48.0,39.0,38.0,42.0,40.0,37.0
competence,8.0,8.0,8.0,9.0,6.0,6.0
competency,9.0,16.0,11.0,8.0,5.0,4.0
competition,26.0,33.0,26.0,25.0,15.0,12.0
competition law,6.0,1.0,0.0,0.0,0.0,0.0
competitive advantage,0.0,7.0,4.0,0.0,0.0,0.0
competitiveness,10.0,11.0,12.0,10.0,10.0,9.0
complaint,7.0,4.0,9.0,4.0,0.0,7.0
complex,5.0,6.0,7.0,5.0,1.0,0.0
complexity,0.0,5.0,3.0,0.0,0.0,0.0
compliance,9.0,10.0,9.0,9.0,16.0,13.0
component,6.0,3.0,0.0,6.0,3.0,0.0
composition,5.0,3.0,0.0,0.0,0.0,0.0
comprehensive,8.0,10.0,10.0,9.0,12.0,10.0
compulsory,11.0,14.0,14.0,9.0,9.0,6.0
computational thinking,9.0,12.0,7.0,7.0,5.0,4.0
computer,5.0,6.0,3.0,0.0,0.0,4.0
computer education,0.0,0.0,0.0,11.0,2.0,0.0
concentration,7.0,6.0,12.0,6.0,2.0,0.0
concept,20.0,9.0,14.0,14.0,13.0,12.0
concept mapping,0.0,7.0,7.0,10.0,6.0,6.0
concerning,7.0,8.0,8.0,3.0,0.0,0.0
concor,5.0,7.0,5.0,1.0,0.0,0.0
concor analysis,0.0,6.0,5.0,1.0,0.0,0.0
condition,10.0,5.0,9.0,8.0,5.0,6.0
conditional,5.0,3.0,0.0,0.0,0.0,0.0
conditions,14.0,13.0,11.0,10.0,21.0,17.0
condominium,0.0,0.0,5.0,0.0,0.0,5.0
conduct,6.0,2.0,0.0,0.0,0.0,7.0
conference,6.0,3.0,0.0,0.0,0.0,0.0
confidentiality,7.0,3.0,0.0,8.0,3.0,0.0
confirmation,5.0,5.0,7.0,3.0,0.0,0.0
confirmatory factor analysis,0.0,5.0,4.0,0.0,0.0,7.0
conflict,30.0,30.0,18.0,26.0,31.0,28.0
conflict management,6.0,4.0,6.0,7.0,4.0,0.0
conflict resolution,6.0,6.0,3.0,0.0,0.0,0.0
conformity,0.0,0.0,0.0,6.0,2.0,0.0
confucianism,0.0,0.0,8.0,9.0,4.0,0.0
congratulatory,11.0,0.0,5.0,0.0,0.0,3.0
congratulatory message,11.0,0.0,5.0,0.0,0.0,3.0
connectedness,0.0,6.0,1.0,0.0,0.0,0.0
connection,8.0,4.0,10.0,4.0,0.0,0.0
conscientious,0.0,0.0,0.0,5.0,1.0,0.0
conscription,0.0,5.0,3.0,0.0,0.0,0.0
consensual qualitative research,0.0,0.0,6.0,2.0,0.0,0.0
consent,15.0,16.0,16.0,12.0,12.0,8.0
conservation,0.0,0.0,5.0,7.0,3.0,0.0
consideration,0.0,0.0,7.0,3.0,0.0,0.0
consistency,7.0,4.0,0.0,0.0,0.0,6.0
conspicuous consumption,7.0,2.0,0.0,0.0,0.0,0.0
constitution,36.0,26.0,25.0,25.0,19.0,19.0
constitutional,48.0,29.0,34.0,27.0,50.0,46.0
constitutionalism,7.0,6.0,1.0,0.0,0.0,0.0
constraints,0.0,10.0,2.0,0.0,0.0,0.0
construal level theory,0.0,0.0,6.0,2.0,0.0,4.0
construction,7.0,11.0,20.0,14.0,20.0,16.0
construction industry,0.0,0.0,5.0,6.0,5.0,4.0
constructivism,5.0,4.0,6.0,6.0,6.0,4.0
consultation,10.0,2.0,5.0,5.0,6.0,0.0
consumer,23.0,23.0,26.0,25.0,25.0,25.0
consumer attitude,0.0,0.0,7.0,7.0,5.0,5.0
consumer behavior,0.0,0.0,5.0,3.0,0.0,0.0
consumer protection,5.0,0.0,0.0,6.0,0.0,0.0
consumer satisfaction,11.0,4.0,0.0,0.0,0.0,0.0
consumer trust,0.0,0.0,5.0,0.0,0.0,0.0
consumption,12.0,12.0,14.0,11.0,10.0,8.0
consumption value,12.0,15.0,14.0,9.0,7.0,4.0
contact,6.0,3.0,0.0,0.0,0.0,0.0
content,8.0,6.0,6.0,12.0,12.0,10.0
content analysis,21.0,18.0,24.0,15.0,13.0,10.0
content system of social welfare ordinance,0.0,0.0,5.0,4.0,0.0,0.0
contents,10.0,6.0,12.0,6.0,1.0,0.0
context,0.0,6.0,7.0,3.0,0.0,0.0
contingent valuation method,7.0,5.0,5.0,0.0,0.0,0.0
continuance intention,5.0,7.0,10.0,5.0,8.0,4.0
continued use intention,0.0,9.0,6.0,13.0,9.0,10.0
continuing education,5.0,0.0,0.0,0.0,0.0,0.0
continuity,8.0,3.0,0.0,0.0,0.0,7.0
continuous use intention,23.0,23.0,26.0,19.0,10.0,8.0
contract,71.0,61.0,75.0,71.0,74.0,69.0
contracting,6.0,2.0,0.0,0.0,0.0,0.0
contractor,7.0,5.0,5.0,6.0,11.0,9.0
contractual,9.0,4.0,5.0,4.0,0.0,0.0
contribution,6.0,9.0,8.0,7.0,10.0,8.0
control,49.0,54.0,46.0,69.0,62.0,69.0
convenience,6.0,4.0,7.0,10.0,3.0,0.0
convention,43.0,34.0,50.0,40.0,38.0,34.0
convergence,9.0,10.0,8.0,5.0,6.0,3.0
convergence education,6.0,3.0,5.0,3.0,0.0,3.0
conversion,5.0,3.0,5.0,6.0,6.0,4.0
cooperation,21.0,16.0,19.0,17.0,20.0,16.0
cooperative,8.0,12.0,4.0,5.0,7.0,4.0
cooperative governance,0.0,0.0,5.0,0.0,0.0,0.0
coping strategies,6.0,2.0,6.0,1.0,0.0,6.0
copyright,12.0,20.0,22.0,17.0,19.0,15.0
core,6.0,4.0,0.0,5.0,1.0,0.0
core competencies,13.0,4.0,5.0,5.0,2.0,0.0
corona 19,5.0,3.0,0.0,0.0,0.0,0.0
corona era,5.0,0.0,0.0,0.0,0.0,0.0
coronavirus,13.0,8.0,3.0,0.0,0.0,0.0
corporate,50.0,47.0,44.0,49.0,54.0,51.0
corporate governance,15.0,11.0,7.0,14.0,9.0,10.0
corporate image,0.0,0.0,7.0,11.0,4.0,0.0
corporate performance,9.0,3.0,9.0,8.0,4.0,0.0
corporate reputation,0.0,0.0,6.0,7.0,8.0,7.0
corporate social responsibility,19.0,10.0,14.0,6.0,10.0,6.0
corporate value,6.0,8.0,8.0,10.0,5.0,6.0
corporation,11.0,14.0,4.0,7.0,12.0,9.0
correction,5.0,4.0,6.0,9.0,6.0,7.0
correlation,0.0,0.0,5.0,1.0,0.0,0.0
correlation analysis,5.0,1.0,0.0,0.0,0.0,0.0
corruption,11.0,6.0,11.0,9.0,8.0,6.0
cost,19.0,25.0,21.0,19.0,18.0,17.0
cost stickiness,9.0,5.0,3.0,5.0,2.0,0.0
council,12.0,5.0,13.0,9.0,11.0,9.0
counseling,12.0,6.0,9.0,10.0,4.0,0.0
counselor,0.0,5.0,5.0,4.0,0.0,0.0
counter,5.0,2.0,0.0,0.0,0.0,3.0
counterproductive work behavior,5.0,4.0,0.0,0.0,0.0,0.0
country,8.0,8.0,8.0,2.0,0.0,0.0
court,43.0,48.0,40.0,37.0,59.0,57.0
court decision,0.0,0.0,5.0,3.0,0.0,0.0
court fair,0.0,0.0,7.0,4.0,0.0,0.0
covenant,0.0,5.0,2.0,0.0,0.0,0.0
coverage,6.0,1.0,0.0,0.0,0.0,0.0
covert narcissism,6.0,3.0,0.0,0.0,0.0,0.0
covid-19,397.0,298.0,199.0,85.0,49.0,27.0
covid-19 pandemic,26.0,18.0,16.0,13.0,14.0,12.0
covid-19 stress,0.0,5.0,2.0,0.0,0.0,0.0
covid-19 vaccination,0.0,6.0,1.0,0.0,0.0,0.0
cox,0.0,0.0,6.0,4.0,0.0,0.0
cox proportional hazard model,0.0,0.0,5.0,5.0,1.0,0.0
cptpp,6.0,13.0,6.0,4.0,0.0,0.0
creation,5.0,3.0,7.0,7.0,4.0,0.0
creative self-efficacy,6.0,3.0,0.0,0.0,0.0,0.0
creativity,17.0,19.0,10.0,15.0,13.0,13.0
credibility,6.0,4.0,7.0,3.0,0.0,4.0
credit,19.0,18.0,20.0,22.0,8.0,6.0
credit ratings,0.0,7.0,3.0,0.0,0.0,0.0
creditor,7.0,2.0,9.0,6.0,2.0,0.0
crime,73.0,54.0,62.0,57.0,77.0,69.0
criminal,61.0,52.0,53.0,60.0,61.0,57.0
crisis,19.0,25.0,24.0,26.0,13.0,12.0
crisis management,7.0,7.0,3.0,0.0,0.0,0.0
criteria,10.0,11.0,11.0,8.0,9.0,7.0
critical,7.0,3.0,6.0,5.0,6.0,4.0
critical discourse analysis,8.0,6.0,5.0,4.0,0.0,3.0
critical theory,0.0,0.0,7.0,2.0,0.0,0.0
criticism,0.0,0.0,0.0,5.0,5.0,5.0
cross,20.0,13.0,4.0,9.0,25.0,17.0
cross-border e-commerce,7.0,5.0,6.0,6.0,7.0,5.0
crowdfunding,0.0,5.0,3.0,0.0,0.0,0.0
crpd,5.0,0.0,0.0,0.0,0.0,0.0
crypto,0.0,8.0,10.0,3.0,0.0,0.0
cryptocurrency,0.0,8.0,9.0,8.0,7.0,6.0
csr,24.0,17.0,16.0,19.0,10.0,10.0
cultural capital,0.0,7.0,2.0,0.0,0.0,5.0
cultural city,0.0,0.0,6.0,6.0,3.0,0.0
cultural contents,9.0,5.0,2.0,0.0,0.0,0.0
cultural diversity,6.0,6.0,4.0,0.0,0.0,5.0
cultural heritage,7.0,8.0,8.0,9.0,8.0,8.0
cultural impact assessment,5.0,0.0,0.0,0.0,0.0,0.0
cultural industry,0.0,5.0,11.0,4.0,0.0,5.0
cultural intelligence,0.0,5.0,0.0,0.0,0.0,0.0
cultural tourism,6.0,3.0,0.0,0.0,0.0,0.0
culture,33.0,32.0,26.0,28.0,10.0,8.0
currency,9.0,6.0,7.0,4.0,0.0,4.0
curriculum,20.0,18.0,16.0,15.0,17.0,14.0
custody,0.0,0.0,0.0,6.0,3.0,0.0
customary,0.0,5.0,5.0,4.0,0.0,0.0
customer,0.0,0.0,6.0,4.0,0.0,0.0
customer citizenship behavior,0.0,0.0,6.0,2.0,0.0,0.0
customer engagement,5.0,3.0,0.0,5.0,3.0,0.0
customer experience,0.0,0.0,0.0,9.0,4.0,0.0
customer loyalty,11.0,6.0,14.0,6.0,8.0,4.0
customer orientation,24.0,17.0,25.0,12.0,8.0,5.0
customer participation,0.0,5.0,3.0,0.0,0.0,0.0
customer satisfaction,49.0,42.0,49.0,33.0,22.0,17.0
customer value,5.0,6.0,3.0,0.0,0.0,0.0
customs,0.0,6.0,6.0,8.0,7.0,6.0
customs act,0.0,0.0,0.0,5.0,1.0,0.0
cyber,16.0,11.0,12.0,7.0,7.0,4.0
cyber security,0.0,0.0,5.0,2.0,0.0,0.0
cyberbullying,6.0,4.0,0.0,0.0,0.0,0.0
cybercrime,8.0,6.0,1.0,0.0,0.0,0.0
cybersecurity,0.0,0.0,6.0,5.0,10.0,9.0
cyberspace,6.0,3.0,0.0,0.0,0.0,0.0
cycle,0.0,0.0,11.0,2.0,0.0,5.0
d,20.0,18.0,22.0,15.0,15.0,12.0
da,0.0,5.0,3.0,0.0,0.0,0.0
damage,16.0,15.0,14.0,17.0,10.0,10.0
damages,26.0,22.0,35.0,18.0,19.0,15.0
das,7.0,6.0,5.0,11.0,3.0,0.0
data,62.0,61.0,65.0,39.0,77.0,71.0
data envelopment analysis,11.0,6.0,5.0,6.0,6.0,4.0
data literacy,0.0,0.0,0.0,8.0,4.0,0.0
database,0.0,0.0,5.0,0.0,0.0,0.0
date,5.0,6.0,3.0,6.0,0.0,0.0
dating,0.0,0.0,0.0,5.0,4.0,0.0
de,29.0,21.0,24.0,14.0,8.0,5.0
dea,14.0,9.0,11.0,14.0,10.0,11.0
deal,0.0,5.0,0.0,0.0,0.0,0.0
death,8.0,12.0,9.0,7.0,13.0,9.0
death anxiety,0.0,5.0,1.0,0.0,0.0,0.0
debt,10.0,8.0,9.0,10.0,10.0,10.0
debtor,7.0,7.0,2.0,0.0,0.0,7.0
decentralization,15.0,19.0,27.0,10.0,13.0,7.0
deception,0.0,0.0,0.0,6.0,2.0,0.0
decision,24.0,38.0,27.0,25.0,33.0,27.0
decision making,0.0,8.0,2.0,5.0,1.0,0.0
decision tree,0.0,0.0,7.0,4.0,0.0,0.0
decisions,6.0,3.0,5.0,4.0,0.0,0.0
declaration,7.0,11.0,7.0,5.0,6.0,3.0
decline,0.0,0.0,0.0,5.0,2.0,0.0
decomposition,0.0,0.0,0.0,5.0,3.0,0.0
decoupling,8.0,2.0,0.0,6.0,3.0,0.0
decree,0.0,0.0,6.0,3.0,0.0,4.0
deduction,8.0,8.0,9.0,16.0,6.0,6.0
deemed,6.0,5.0,6.0,7.0,8.0,7.0
deep learning,14.0,19.0,17.0,22.0,17.0,17.0
deepfake,0.0,0.0,0.0,12.0,13.0,11.0
defamation,14.0,9.0,6.0,8.0,4.0,0.0
default,0.0,5.0,3.0,0.0,0.0,4.0
defect,0.0,5.0,4.0,6.0,12.0,9.0
defects,0.0,0.0,9.0,6.0,5.0,3.0
defense,33.0,30.0,28.0,24.0,27.0,23.0
definition,0.0,6.0,2.0,7.0,10.0,8.0
delay,0.0,0.0,5.0,0.0,0.0,2.0
delegation,0.0,0.0,5.0,9.0,7.0,6.0
deliberation,6.0,2.0,0.0,6.0,1.0,0.0
deliberative democracy,0.0,0.0,5.0,7.0,2.0,0.0
delinquency,0.0,6.0,7.0,2.0,0.0,0.0
delivery,0.0,10.0,5.0,8.0,2.0,0.0
delivery app,6.0,8.0,3.0,0.0,0.0,0.0
delphi,6.0,5.0,6.0,6.0,6.0,4.0
delphi method,8.0,8.0,4.0,0.0,0.0,7.0
delphi survey,7.0,1.0,0.0,6.0,2.0,0.0
demand,11.0,9.0,20.0,13.0,10.0,9.0
dementia,0.0,0.0,6.0,6.0,7.0,6.0
democracy,45.0,50.0,39.0,40.0,53.0,49.0
democratic,8.0,7.0,7.0,6.0,9.0,7.0
democratic backsliding,0.0,0.0,5.0,7.0,1.0,0.0
democratic citizenship education,0.0,6.0,5.0,0.0,0.0,0.0
democratization,11.0,13.0,7.0,3.0,0.0,3.0
denial,7.0,5.0,3.0,0.0,0.0,0.0
denuclearization,8.0,4.0,5.0,1.0,0.0,0.0
department,0.0,5.0,2.0,6.0,5.0,0.0
dependence,5.0,4.0,6.0,5.0,2.0,0.0
depopulation areas,0.0,0.0,7.0,4.0,0.0,0.0
deposit,13.0,2.0,13.0,5.0,5.0,2.0
depression,72.0,68.0,57.0,64.0,65.0,65.0
depressive symptoms,6.0,7.0,7.0,6.0,6.0,4.0
der,32.0,32.0,31.0,24.0,29.0,24.0
deregulation,6.0,1.0,0.0,5.0,2.0,0.0
derivatives,5.0,12.0,6.0,4.0,0.0,0.0
des,27.0,24.0,23.0,16.0,21.0,17.0
design,9.0,17.0,12.0,12.0,6.0,6.0
design thinking,6.0,2.0,0.0,8.0,3.0,0.0
designated discussion,0.0,0.0,9.0,0.0,0.0,13.0
designation,0.0,7.0,4.0,0.0,0.0,0.0
desire,8.0,1.0,0.0,0.0,0.0,0.0
destination image,7.0,12.0,3.0,5.0,1.0,0.0
detection,0.0,0.0,6.0,11.0,7.0,8.0
detention,0.0,0.0,6.0,3.0,0.0,0.0
determinants,10.0,7.0,8.0,14.0,11.0,12.0
determination,25.0,17.0,33.0,27.0,28.0,27.0
deterrence,7.0,4.0,12.0,8.0,6.0,4.0
developing countries,9.0,7.0,6.0,3.0,0.0,0.0
development,38.0,47.0,52.0,48.0,43.0,42.0
development cooperation,0.0,6.0,2.0,6.0,7.0,5.0
developmental disabilities,11.0,11.0,8.0,12.0,11.0,11.0
developmental state,0.0,6.0,6.0,4.0,0.0,0.0
device,0.0,6.0,10.0,7.0,5.0,4.0
dialogue,6.0,7.0,1.0,5.0,5.0,4.0
diaspora,0.0,6.0,2.0,8.0,5.0,7.0
did,0.0,8.0,7.0,3.0,0.0,5.0
die,21.0,8.0,5.0,8.0,8.0,6.0
difference,6.0,12.0,6.0,7.0,10.0,8.0
difference-in-differences,10.0,12.0,7.0,9.0,5.0,6.0
differences,5.0,1.0,0.0,0.0,0.0,5.0
differential,0.0,0.0,0.0,6.0,4.0,0.0
differentiation,6.0,1.0,0.0,0.0,0.0,0.0
diffusion,6.0,3.0,0.0,0.0,0.0,0.0
digital,59.0,51.0,72.0,66.0,76.0,67.0
digital capability,0.0,0.0,0.0,5.0,3.0,0.0
digital citizenship,0.0,0.0,7.0,4.0,0.0,4.0
digital competence,0.0,0.0,6.0,11.0,13.0,12.0
digital competency,0.0,0.0,5.0,7.0,2.0,0.0
digital divide,10.0,11.0,10.0,6.0,7.0,4.0
digital economy,7.0,6.0,5.0,4.0,0.0,3.0
digital healthcare,0.0,0.0,5.0,3.0,0.0,0.0
digital literacy,11.0,18.0,22.0,28.0,40.0,38.0
digital media,0.0,0.0,8.0,5.0,8.0,5.0
digital platform,0.0,9.0,11.0,8.0,3.0,0.0
digital signage,5.0,1.0,0.0,0.0,0.0,0.0
digital technology,0.0,7.0,6.0,6.0,4.0,0.0
digital trade,6.0,7.0,9.0,12.0,16.0,14.0
digital trade agreement,0.0,0.0,0.0,6.0,4.0,0.0
digital transformation,20.0,25.0,24.0,48.0,39.0,37.0
digitalization,0.0,8.0,6.0,9.0,4.0,0.0
dignity,7.0,10.0,8.0,8.0,4.0,0.0
digung,0.0,5.0,0.0,0.0,0.0,0.0
dilemma,5.0,2.0,0.0,6.0,3.0,0.0
diligence,6.0,6.0,4.0,5.0,4.0,0.0
dioxide,0.0,0.0,0.0,5.0,1.0,0.0
diplomacy,8.0,6.0,7.0,8.0,6.0,6.0
diplomatic,7.0,9.0,4.0,0.0,0.0,0.0
direct,13.0,17.0,13.0,16.0,15.0,14.0
direction,6.0,5.0,4.0,0.0,0.0,0.0
directive,5.0,5.0,7.0,12.0,11.0,10.0
director,10.0,13.0,12.0,10.0,9.0,7.0
directors,11.0,6.0,6.0,9.0,8.0,7.0
disabilities,9.0,7.0,7.0,13.0,15.0,14.0
disability,7.0,10.0,11.0,10.0,6.0,5.0
disability acceptance,6.0,2.0,12.0,9.0,13.0,10.0
disabled,9.0,6.0,7.0,5.0,2.0,0.0
disaster,30.0,12.0,25.0,14.0,14.0,10.0
disaster management,5.0,2.0,0.0,0.0,0.0,0.0
disciplinary,0.0,5.0,4.0,6.0,4.0,0.0
discipline,5.0,4.0,5.0,5.0,5.0,4.0
disclosure,18.0,30.0,21.0,21.0,30.0,26.0
discount,9.0,3.0,0.0,8.0,7.0,6.0
discourse,11.0,6.0,5.0,10.0,4.0,0.0
discourse analysis,0.0,8.0,3.0,9.0,9.0,8.0
discovery,5.0,3.0,8.0,7.0,1.0,0.0
discretion,11.0,5.0,5.0,6.0,5.0,4.0
discretionary,13.0,9.0,5.0,7.0,5.0,4.0
discretionary accruals,7.0,4.0,5.0,4.0,0.0,0.0
discrimination,41.0,27.0,41.0,36.0,20.0,18.0
discussion,31.0,7.0,2.0,7.0,1.0,0.0
discussion paper,0.0,0.0,26.0,3.0,0.0,18.0
discussions uncitral,5.0,0.0,0.0,0.0,0.0,0.0
disease,18.0,11.0,6.0,8.0,3.0,0.0
disinformation,8.0,5.0,2.0,0.0,0.0,0.0
dismissal,16.0,6.0,5.0,8.0,7.0,7.0
disorder,0.0,0.0,0.0,5.0,2.0,0.0
dispatch,5.0,6.0,6.0,6.0,6.0,4.0
disposal,6.0,3.0,6.0,7.0,5.0,0.0
disposition,12.0,14.0,20.0,18.0,18.0,17.0
dispute,28.0,20.0,25.0,24.0,20.0,20.0
disputes,6.0,10.0,6.0,4.0,0.0,3.0
distance,6.0,4.0,5.0,1.0,0.0,0.0
distinction,0.0,0.0,5.0,4.0,0.0,0.0
distributed,0.0,7.0,5.0,6.0,4.0,0.0
distribution,11.0,9.0,11.0,12.0,5.0,5.0
distributive justice,7.0,2.0,0.0,0.0,0.0,5.0
district,7.0,7.0,7.0,5.0,3.0,0.0
diversification,6.0,9.0,6.0,6.0,6.0,5.0
diversity,19.0,10.0,17.0,16.0,2.0,0.0
divide,5.0,1.0,0.0,0.0,0.0,0.0
dividend,10.0,10.0,5.0,11.0,6.0,8.0
dividend policy,0.0,5.0,2.0,0.0,0.0,0.0
division,12.0,9.0,9.0,11.0,8.0,8.0
dmz,5.0,5.0,2.0,0.0,0.0,0.0
dna,7.0,3.0,7.0,2.0,0.0,5.0
do,5.0,7.0,1.0,5.0,0.0,0.0
doctrine,15.0,12.0,18.0,16.0,25.0,24.0
document,5.0,2.0,9.0,2.0,0.0,0.0
domain,0.0,8.0,4.0,11.0,9.0,7.0
domestic,14.0,18.0,12.0,19.0,29.0,26.0
donation,0.0,7.0,12.0,5.0,14.0,8.0
double,11.0,14.0,13.0,6.0,10.0,6.0
down,6.0,0.0,0.0,0.0,0.0,0.0
draft,0.0,5.0,5.0,3.0,0.0,0.0
driving,5.0,5.0,6.0,5.0,3.0,0.0
droit,0.0,7.0,5.0,3.0,0.0,0.0
drone,12.0,10.0,14.0,8.0,8.0,6.0
drug,0.0,0.0,9.0,6.0,8.0,6.0
drunk,0.0,0.0,0.0,5.0,0.0,0.0
du,5.0,3.0,5.0,0.0,0.0,0.0
dual,8.0,7.0,4.0,6.0,8.0,6.0
due,17.0,21.0,15.0,13.0,19.0,16.0
dumping,8.0,2.0,0.0,0.0,0.0,0.0
duties,8.0,3.0,8.0,9.0,12.0,11.0
duty,49.0,40.0,42.0,47.0,51.0,48.0
dying,0.0,0.0,7.0,3.0,0.0,0.0
dynamic,5.0,5.0,8.0,7.0,6.0,4.0
dynamic capabilities,0.0,5.0,10.0,9.0,11.0,9.0
e,9.0,12.0,20.0,15.0,15.0,13.0
e-commerce,9.0,14.0,14.0,16.0,10.0,12.0
e-government,5.0,4.0,0.0,0.0,0.0,4.0
early,6.0,2.0,0.0,0.0,0.0,0.0
early childhood,0.0,6.0,3.0,0.0,0.0,0.0
early childhood education,0.0,0.0,0.0,7.0,7.0,5.0
early childhood teacher,27.0,33.0,32.0,38.0,28.0,27.0
earnings,7.0,5.0,2.0,0.0,0.0,0.0
earnings management,15.0,16.0,8.0,2.0,0.0,0.0
earnings quality,5.0,1.0,0.0,0.0,0.0,0.0
earthquake,5.0,1.0,0.0,0.0,0.0,0.0
east asia,16.0,20.0,6.0,10.0,8.0,6.0
eco-friendly,0.0,0.0,0.0,6.0,1.0,0.0
ecofeminism,0.0,0.0,0.0,6.0,4.0,0.0
ecological,0.0,5.0,7.0,7.0,6.0,5.0
ecology,5.0,3.0,0.0,6.0,4.0,0.0
economic,45.0,39.0,51.0,29.0,35.0,29.0
economic activity,0.0,5.0,3.0,5.0,2.0,0.0
economic cooperation,5.0,5.0,2.0,0.0,0.0,0.0
economic development,5.0,6.0,7.0,3.0,0.0,0.0
economic growth,9.0,12.0,9.0,10.0,12.0,11.0
economic performance,0.0,8.0,1.0,0.0,0.0,6.0
economic security,0.0,9.0,10.0,14.0,15.0,16.0
economy,33.0,27.0,22.0,24.0,13.0,10.0
ecosystem,0.0,5.0,4.0,6.0,1.0,0.0
ecotourism,0.0,6.0,5.0,1.0,0.0,0.0
editor,8.0,9.0,10.0,7.0,7.0,4.0
editor note,5.0,4.0,6.0,4.0,0.0,0.0
editorial,9.0,6.0,8.0,5.0,5.0,3.0
education,46.0,33.0,47.0,52.0,46.0,49.0
education for sustainable development,0.0,0.0,0.0,7.0,2.0,0.0
education gap,0.0,5.0,6.0,2.0,0.0,0.0
education policy,7.0,4.0,0.0,6.0,14.0,11.0
educational effectiveness,0.0,0.0,0.0,6.0,2.0,0.0
educational environment,0.0,5.0,5.0,4.0,0.0,0.0
educational inequality,0.0,5.0,3.0,0.0,0.0,0.0
educational innovation,0.0,5.0,0.0,0.0,0.0,0.0
educational needs,0.0,0.0,8.0,3.0,0.0,0.0
educational satisfaction,9.0,6.0,9.0,2.0,0.0,0.0
educational service quality,7.0,4.0,0.0,0.0,0.0,0.0
effect,52.0,43.0,48.0,39.0,33.0,27.0
effect size,0.0,5.0,7.0,2.0,0.0,0.0
effective,6.0,6.0,6.0,8.0,4.0,0.0
effectiveness,11.0,10.0,11.0,12.0,11.0,11.0
efficacy,6.0,3.0,5.0,1.0,0.0,0.0
efficiency,15.0,25.0,20.0,23.0,31.0,26.0
ego-resilience,9.0,8.0,5.0,4.0,0.0,0.0
elasticity,5.0,1.0,0.0,6.0,2.0,0.0
elderly,54.0,46.0,61.0,58.0,75.0,61.0
elderly people,0.0,0.0,0.0,5.0,3.0,0.0
elderly women,0.0,6.0,4.0,7.0,1.0,0.0
elected term,0.0,7.0,0.0,0.0,0.0,0.0
election,26.0,30.0,19.0,26.0,19.0,19.0
electric vehicle,0.0,6.0,3.0,12.0,2.0,0.0
electricity,0.0,7.0,3.0,10.0,2.0,0.0
electronic,27.0,22.0,22.0,19.0,19.0,18.0
elementary physical education,9.0,4.0,8.0,5.0,2.0,0.0
elementary school,0.0,6.0,7.0,9.0,5.0,6.0
elementary school student,0.0,0.0,5.0,4.0,0.0,0.0
elementary school students,12.0,11.0,10.0,12.0,2.0,0.0
elementary school teacher,6.0,3.0,9.0,11.0,13.0,12.0
elements,5.0,5.0,4.0,5.0,8.0,6.0
elite,0.0,0.0,5.0,4.0,0.0,0.0
embezzlement,0.0,0.0,6.0,3.0,0.0,0.0
emergency,9.0,10.0,5.0,7.0,8.0,6.0
emerging adulthood,0.0,6.0,1.0,0.0,0.0,0.0
emission,7.0,4.0,0.0,0.0,0.0,0.0
emissions,0.0,0.0,0.0,6.0,4.0,0.0
emoticon,6.0,2.0,0.0,0.0,0.0,0.0
emotion,9.0,13.0,10.0,14.0,9.0,10.0
emotional,5.0,5.0,4.0,6.0,3.0,0.0
emotional clarity,0.0,0.0,0.0,5.0,2.0,0.0
emotional exhaustion,8.0,8.0,1.0,7.0,5.0,0.0
emotional intelligence,19.0,17.0,9.0,6.0,5.0,3.0
emotional labor,16.0,15.0,22.0,9.0,19.0,14.0
emotional leadership,5.0,2.0,0.0,6.0,0.0,0.0
emotional value,0.0,7.0,4.0,0.0,0.0,0.0
empathy,19.0,12.0,11.0,19.0,9.0,11.0
empire,5.0,3.0,0.0,0.0,0.0,7.0
empirical,0.0,0.0,5.0,0.0,0.0,0.0
empirical analysis,0.0,0.0,5.0,4.0,0.0,0.0
employability,0.0,0.0,5.0,2.0,0.0,3.0
employed,0.0,5.0,6.0,1.0,0.0,0.0
employee,18.0,18.0,18.0,14.0,22.0,17.0
employees,8.0,6.0,10.0,4.0,0.0,5.0
employer,12.0,8.0,12.0,13.0,15.0,14.0
employment,57.0,47.0,58.0,62.0,34.0,32.0
employment for the disabled,5.0,1.0,0.0,0.0,0.0,0.0
employment preparation behavior,0.0,5.0,3.0,0.0,0.0,0.0
empowering leadership,7.0,7.0,10.0,6.0,3.0,0.0
empowerment,8.0,11.0,10.0,5.0,9.0,5.0
energy,13.0,18.0,21.0,19.0,28.0,24.0
energy transition,7.0,5.0,6.0,9.0,5.0,6.0
enforcement,15.0,17.0,26.0,14.0,21.0,16.0
engagement,9.0,8.0,12.0,10.0,7.0,6.0
engineering,0.0,0.0,6.0,2.0,0.0,5.0
enjoyment,0.0,0.0,5.0,1.0,0.0,2.0
enrichment,0.0,6.0,4.0,9.0,6.0,6.0
enterprise,9.0,5.0,9.0,6.0,5.0,3.0
enterprises,7.0,3.0,9.0,7.0,4.0,0.0
entertainment,0.0,5.0,7.0,5.0,1.0,0.0
